,Station,Latitude,Longitude
0,Ogden Ave & Race Ave,41.891795,-87.658751
1,State St & 35th St,41.831036314,-87.626797557
2,Clark St & Elm St,41.902972999999996,-87.63128
3,Carpenter St & 63rd St,41.77987,-87.65091899999999
4,Leavitt St & Division St,41.902997,-87.683825
5,May St & Taylor St,41.8694821,-87.6554864
6,Lamon Ave & Belmont Ave,41.9390108,-87.74928340000001
7,Smith Park,41.892047999999996,-87.689397
8,Bernard St & Elston Ave,41.949923,-87.713949
9,Elizabeth (May) St & Fulton St,41.886616486,-87.658039927
10,Milwaukee Ave & Rockwell St,41.920195561999996,-87.69265919899999
11,New St & Illinois St,41.890847041,-87.618616819
12,California Ave & Francis Pl (Temp),41.918491154,-87.697422802
13,State St & 95th St,41.7218499,-87.62285440000001
14,Leavitt St & North Ave,41.910509366999996,-87.682389021
15,Pulaski Rd & Eddy St (Temp),41.946264,-87.731023
16,Wallace St & 35th St,41.83101433,-87.641183585
17,Eggleston Ave & 69th St,41.768898,-87.635876
18,N Clark St & W Elm St,41.902901,-87.631282
19,Leavitt St & Belmont Ave,41.939353999999994,-87.68328199999999
20,Central Park Ave & Bloomingdale Ave,41.914165999999994,-87.716755
21,W Armitage Ave & N Sheffield Ave,41.917805,-87.653449
22,Wabash Ave & Grand Ave,41.891465999999994,-87.626761
23,Leavitt St & Addison St,41.946655,-87.683359
24,W Oakdale Ave & N Broadway,41.935581,-87.644042
25,MLK Jr Dr & 29th St,41.842052,-87.617
26,Clark St & Schiller St,41.907993,-87.631501
27,Damen Ave & Walnut (Lake) St,41.885951,-87.677009
28,472,41.934003000000004,-87.690823
29,S Aberdeen St & W 106th St,41.701217,-87.649345
30,Clark St & Newport St,41.94454,-87.654678
31,N Paulina St & Lincoln Ave,41.943838,-87.67146899999999
32,Wood St & Chicago Ave,41.895634,-87.672069
33,Fairbanks Ct & Grand Ave,41.891847372,-87.620580196
34,St. Clair St & Erie St,41.894345136999995,-87.62279838299999
35,Damen Ave & Grand Ave,41.891264346,-87.67684221299999
36,Stony Island Ave & 75th St,41.75866967,-87.586882871
37,Benson Ave & Church St,42.048214,-87.683485
38,Kedzie Ave & 52nd St,41.7990641,-87.703446
39,N Sheffield Ave & W Wellington Ave,41.936226299999994,-87.6537676
40,California Ave & 21st St,41.853804066,-87.695742399
41,Racine Ave & Belmont Ave,41.939743,-87.658865
42,Harding Ave & 26th St,41.844471500000004,-87.7232647
43,Lincoln Ave & Belle Plaine Ave,41.956003551,-87.680161446
44,Shedd Aquarium,41.867225956999995,-87.61535539
45,Franklin St & Chicago Ave,41.896746973,-87.63566762200001
46,Federal St & Polk St,41.872077633,-87.629543773
47,Wood St & Taylor St (Temp),41.869265218,-87.67373085
48,S Wentworth Ave & W 111th St,41.692617600000005,-87.6280518
49,Greenview Ave & Diversey Pkwy,41.932589634,-87.665936351
50,Clark St & Winnemac Ave,41.97334764,-87.66785547100001
51,Cannon Dr & Fullerton Ave,41.926755988000004,-87.634428785
52,Lincoln Ave & Roscoe St,41.94379115,-87.67125785399999
53,Central Ave & Harrison St,41.872993,-87.764499
54,North Ave & New England Ave,41.909220399999995,-87.79714059999999
55,Ashland Ave & Chicago Ave,41.895974323000004,-87.667725384
56,Jeffery Blvd & 67th St,41.773517551,-87.577142826
57,Sheridan Rd & Greenleaf Ave,42.010586563000004,-87.662412095
58,Avenue L & 114th St,41.6881169,-87.5365497
59,Stony Island Ave & 71st St,41.766492936999995,-87.586460878
60,Larrabee St & Division St,41.90348607,-87.643353494
61,Larrabee St & Oak St,41.900219493,-87.64298546799999
62,Halsted St & North Branch St,41.899390285,-87.64854490799999
63,Loomis St & Archer Ave,41.84163254,-87.65743495299999
64,Ashland Ave & Archer Ave,41.839208684,-87.665609859
65,S Michigan Ave & E 118th St,41.679804,-87.62084300000001
66,Michigan Ave & Pearson St,41.897659999999995,-87.62351
67,Wood St & 35th St,41.830104654,-87.670298309
68,Dearborn St & Adams St,41.879356359,-87.629791036
69,Calumet Ave & 21st St,41.854184249,-87.619153741
70,Clarendon Ave & Gordon Ter,41.957866524,-87.649505138
71,Western Ave & Walton St,41.898417689,-87.68659601600001
72,Clark St & Touhy Ave,42.012560115,-87.674367115
73,Artesian Ave & Hubbard St,41.88949182,-87.688219365
74,Racine Ave & 35th St,41.830688565,-87.656210661
75,N Damen Ave & W Chicago Ave,41.895809,-87.678519
76,Kedzie Ave & Chicago Ave,41.895465303,-87.706127884
77,Streeter Dr & Grand Ave,41.892278000000005,-87.612043
78,Franklin St & Adams St (Temp),41.879434091,-87.63550400700001
79,Sacramento Blvd & Franklin Blvd,41.890468792,-87.70260751200001
80,Orleans St & Hubbard St,41.890028,-87.636618
81,Woodlawn & 103rd - Olive Harvey Vaccination Site,41.707338,-87.59399
82,Kedzie Ave & Lake St,41.884603285,-87.706303744
83,California Ave & Lake St,41.884453957,-87.69629813700001
84,Steelworkers Park,41.738246000000004,-87.53106700000001
85,Martin Luther King Dr & 111th St,41.692615,-87.615425
86,Maryland Ave & 104th St,41.705588,-87.602938
87,Indiana Ave & 133rd St,41.653564,-87.61705400000001
88,Wolcott Ave & Fargo Ave,42.016977000000004,-87.677725
89,W 103rd St & S Avers Ave,41.705846,-87.717074
90,W Washington Blvd & N Peoria St,41.883043,-87.64993100000001
91,N Carpenter St & W Lake St,41.885585999999996,-87.6531893
92,N Green St & W Lake St,41.885579,-87.648484
93,N Southport Ave & W Newport Ave,41.944019,-87.663975
94,Ping Tom Park (East),41.8579886,-87.6319447
95,Prospect Sq & 91st St,41.7282338,-87.6675239
96,DuSable Lake Shore Dr & North Blvd,41.911722,-87.626804
97,Canal St & Jackson Blvd,41.877245,-87.63936600000001
98,Michigan Ave & 14th St,41.864059000000005,-87.623727
99,Pine Grove Ave & Waveland Ave,41.949472741,-87.646452785
100,Kimbark Ave & 53rd St,41.799568,-87.594747
101,Damen Ave & Sunnyside Ave,41.96325,-87.67925799999999
102,Major Ave & Bloomingdale Ave,41.91259229999999,-87.7686995
103,Albany Ave & Montrose Ave,41.961040999999994,-87.705866
104,Harlem Ave & Grace St,41.9488531,-87.806938
105,Clinton St & Washington Blvd,41.883379999999995,-87.64116999999999
106,Latrobe Ave & Chicago Ave,41.894745,-87.756895
107,Kenton Ave & Madison St,41.880708,-87.74101800000001
108,Michigan Ave & 8th St,41.872772999999995,-87.623981
